Neuron,Spike Index,Spike Peak (mV),Threshold (mV),Spike Amplitude (mV),Spike Frequency (Hz),TTPAP (ms),Delay to First Spike (ms),Spike Width (ms),AHP (mV),TTPAHP (ms)
N1_Ctrl.txt,2246,34.24292,-49.74146,83.98437999999999,30.0,0.6,24.6,1.3,-57.87439,5.9 
N1_Ctrl.txt,2453,28.16992,-46.84229,75.01221,30.0,0.8,,1.5,-56.97412,9.3
N1_Ctrl.txt,2744,27.07129,-45.78943,72.86072,30.0,0.8,,1.5,-57.0199,11.2
N1_Ctrl.txt,3061,27.02551,-44.90442,71.92993,30.0,0.8,,1.6,-56.89783,13.6
N1_Ctrl.txt,3416,26.56775,-43.88208,70.44983,30.0,0.8,,1.6,-56.13489,11.9
N1_Ctrl.txt,3766,25.34705,-43.43958,68.78663,30.0,0.8,,1.7,,
N2_Ctrl.txt,2215,34.24292,-50.99268,85.2356,35.0,0.7,21.5,1.4,-57.88965,5.5
N2_Ctrl.txt,2414,28.62769,-46.06409,74.69178,35.0,0.7,,1.5,-56.51636,8.8
N2_Ctrl.txt,2682,26.76611,-45.01123,71.77734,35.0,0.8,,1.6,-56.05859,10.8
N2_Ctrl.txt,2980,25.65222,-44.44666,70.09888000000001,35.0,0.9,,1.6,-56.53162,12.0
N2_Ctrl.txt,3310,26.38464,-43.74475,70.12939,35.0,0.8,,1.7,-55.95178,12.2
N2_Ctrl.txt,3672,25.48438,-43.25647,68.74085,35.0,0.9,,1.6,-56.25696,14.3
N2_Ctrl.txt,4029,25.33179,-43.5769,68.90869,35.0,0.9,,1.6,,
N3_Ctrl.txt,2343,41.94263,-48.16052,90.10315,25.0,1.0,34.3,0.9,-55.88147,4.5
N3_Ctrl.txt,2577,39.92847,-43.6134,83.54186999999999,25.0,0.6,,0.9,-55.04224,9.7
N3_Ctrl.txt,2908,38.99768,-43.33875,82.33643000000001,25.0,0.6,,1.0,-54.55396,11.1
N3_Ctrl.txt,3304,38.06689,-42.02649,80.09338,25.0,0.6,,1.0,-54.12671,9.4
N3_Ctrl.txt,3779,37.36499,-41.96545,79.33044,25.0,0.6,,1.0,,
N4_Ctrl.txt,2338,41.9884,-47.96216,89.95056,25.0,1.0,33.8,0.9,-55.30164,4.2
N4_Ctrl.txt,2566,41.24072,-43.88806,85.12878,25.0,0.6,,0.9,-54.41663,11.2
N4_Ctrl.txt,2944,39.82166,-43.30823,83.12989,25.0,0.6,,1.0,-54.38611,8.4
N4_Ctrl.txt,3356,39.8064,-44.4679,84.2743,25.0,1.0,,0.9,-53.60791,11.6
N4_Ctrl.txt,3790,39.27234,-41.44666,80.719,25.0,0.6,,1.0,,
N5_Ctrl.txt,2137,11.54761,-58.81067,70.35828000000001,30.0,0.8,13.7,1.3,-65.7229,4.1
N5_Ctrl.txt,2357,9.594482,-56.8728,66.467282,30.0,0.9,,1.4,-65.57031,10.6
N5_Ctrl.txt,2687,9.548706,-55.59106,65.139766,30.0,0.9,,1.4,-65.14307,12.7
